;119
#;1
#--;137
#--mismo#;1
#--siempre#;1
#-es#;2
#-os;1
#-s;1
#-s#;26
#-se;11
#-se#;34
#10000;2
#10909;1
#a;28
#a#;1
#abandonar#;1
#abatimiento#;1
#abierto#;1
#abismo#;1
#abogar#;1
#aborrecer#;1
#abrasador;1
#abrazar#;1
#abrazo#;1
#abrir;1
#abrir#;1
#abrirse;1
#aca#;1
#acabar#;1
#acabaras;1
#acatar#;1
#accion#;1
#acechar#;1
#acento#;1
#acercarse#;1
#acero#;1
#aciago#;1
#aclamar#;1
#acometer#;1
#acompanar#;1
#acordarse#;1
#activo#;1
#acto;1
#acuden;1
#acudir#;1
#adelantarse;1
#ademan#;1
#adentro#;1
#aderezar#;1
#adios#;1
#administrar#;1
#adonde#;1
#adorar;1
#adormecer#;1
#adormecido#;1
#adorno#;1
#afan#;1
#afecto#;1
#aficion#;1
#afligir#;1
#agasajar#;1
#agolpados#;1
#agradecer#;1
#agradecido#;1
#agua#;1
#aguardar#;1
#ahogar#;1
#ahora#;1
#ahorrar#;1
#ahuyentar#;1
#airado#;1
#aire#;1
#ajeno#;1
#ajenos#;1
#al;16
#alameda#;1
#alarde#;1
#alarido#;1
#alazan#;1
#alba#;1
#albarracin#;1
#albedrio#;1
#albergue#;1
#albigenses#;1
#alborotado#;1
#alborozo#;1
#alcanzar#;1
#alcazaba#;1
#alcazar#;1
#alcoba#;1
#alcurnia#;1
#aldeas#;1
#alentar#;1
#aleve#;1
#alguna;1
#alguno#;1
#alhaja#;1
#aliento#;1
#alimentar#;1
#alistar#;1
#aliviar#;1
#alivio#;1
#alla#;1
#allanarse#;1
#alli#;2
#alma#;1
#alteza#;1
#altivez#;1
#alto#;1
#altura#;1
#alumbrar#;1
#alzar#;1
#ama#;1
#amante#;1
#amar#;1
#amargo#;1
#amargura#;1
#amasar#;1
#ambos#;1
#amenazar#;1
#amigo#;1
#amir#;1
#amistad#;1
#amor;1
#amor#;1
#amorio#;1
#amortajar#;1
#anciandad#;1
#anciano#;1
#andar#;1
#angel#;1
#angustia#;1
#anhelado#;1
#anhelante#;1
#anhelar#;1
#anima#;1
#animar#;1
#animo#;1
#ano#;1
#anochecer#;1
#ansia#;1
#ansiar#;1
#ante#;1
#antes;1
#antes#;1
#anticipado;2
#anticipar#;1
#anular#;1
#anunciar#;1
#apacible#;1
#aparecer#;1
#apartar#;1
#aparte#;1
#apellido#;1
#apenas#;1
#apercibir#;1
#aplacar#;1
#aplazado#;1
#aplicar#;1
#aposento#;1
#apreciar#;1
#aprender#;1
#aprension#;1
#apresar#;1
#aprestar#;1
#apresurar#;1
#aprieto#;1
#aproximarse#;1
#aquese;1
#aqui#;2
#ara#;1
#aragones;1
#arbol#;1
#ardiente#;1
#ardimiento#;1
#arena#;1
#arma#;1
#armino#;1
#arrastrar#;1
#arrebatar#;1
#arrebato#;1
#arremeter;1
#arrepentimiento#;1
#arribar#;1
#arriesgar#;1
#arrimarse#;1
#arrodillado#;1
#arrodillarse#;1
#arrojar#;1
#arrostrar#;1
#arruinarse#;1
#artesano#;1
#ascendiente#;1
#asegurar#;1
#asesinar#;1
#asesinato#;1
#asi#;1
#asido;1
#asir#;1
#asistir;1
#asomar#;1
#asombrado#;1
#aspero#;1
#asustar#;1
#atar#;1
#ataud#;1
#atavio#;1
#atender#;1
#atento#;1
#aterrar#;1
#atesorar#;1
#atestiguar#;1
#atonito#;1
#atras#;1
#atravesar#;1
#atreverse#;1
#atroz#;1
#aumentar#;1
#aumento#;1
#aun;3
#aunque#;1
#ausencia#;1
#ausentarse#;1
#ausente#;1
#autor#;1
#avaro#;1
#averiguar#;1
#avisar#;1
#aviso#;1
#ayer;1
#ayer#;1
#ayunar#;1
#ayuntamiento#;1
#azorado#;2
#b#;1
#bajar#;1
#bajo#;1
#balbuciente#;1
#balcon#;1
#banar#;1
#banda#;1
#bandera#;1
#bandolero#;1
#barra#;1
#basta;1
#basta#;1
#bastante#;1
#bastar#;1
#batida#;1
#beldad#;1
#belen#;1
#bello#;1
#bendecir#;1
#bendicion#;1
#bendito#;1
#benefica;1
#beneficio#;1
#benefico#;1
#benigno#;1
#besar#;1
#besies#;1
#bien;2
#bien#;2
#bienhechor;1
#blando#;1
#blasfemo#;1
#boca#;1
#boda#;1
#borrar#;1
#bosque#;1
#boveda#;1
#brasa#;1
#brazo#;1
#breve#;1
#brillante#;1
#brindar;1
#brioso#;1
#buena;2
#bueno#;1
#bufete#;1
#burlar#;1
#busca#;1
#buscar#;1
#c#;1
#cabal#;1
#cabalgar#;1
#caballero#;1
#caballo#;1
#cabello#;1
#caber;1
#caber#;2
#cabeza#;1
#cabo#;1
#cada#;1
#cadaver#;1
#cadena#;1
#caer#;1
#caido#;1
#calabozo#;1
#calidad#;1
#callar#;1
#calle#;1
#callejon#;1
#cama#;1
#cambiar#;1
#caminar#;1
#camino#;1
#campana#;1
#candido#;1
#cansarse#;1
#capaz#;1
#capilla#;1
#capitan#;1
#cara#;1
#caracter#;1
#carcel#;1
#cargo#;1
#caricia#;1
#caridad#;1
#carino#;1
#carinoso#;1
#caro#;1
#carrera#;1
#carta#;1
#casa#;1
#casado;1
#casamiento#;1
#casar#;1
#casi#;1
#caso;1
#castigar#;1
#castigo#;1
#catalan#;1
#caudal#;1
#cautiverio#;1
#cautividad#;1
#cautivo#;1
#cauto#;1
#cazador#;1
#cebarse#;1
#ceder;1
#celebradas;2
#celebrar#;1
#celestial#;1
#celo#;1
#celosia#;1
#celoso#;1
#cerca#;1
#cercano#;1
#cercar#;1
#cerdo#;1
#cerrar#;1
#certero#;1
#cesar#;1
#cesta#;1
#ciego#;1
#cielo#;1
#cieno#;1
#cierto#;1
#cilicio#;1
#cinco#;1
#ciudad#;1
#clamar#;1
#claustro#;1
#clemencia#;1
#cobrar#;1
#colera#;1
#colmar#;1
#colocar#;1
#comarca#;1
#combate#;1
#combatir#;1
#comisionado#;1
#como#;1
#compadecer#;1
#companero#;1
#compasion#;1
#competidor;1
#complacer#;1
#comprar#;1
#comprender#;1
#compromiso#;1
#con;6
#con#;1
#conceder#;1
#concertarse#;1
#concluir#;1
#concluyo;1
#conde#;1
#condenar#;1
#condicion#;1
#conducir#;1
#conferenciar#;1
#confesar#;1
#confiar#;1
#confin#;1
#confundir#;1
#confuso#;1
#conjuracion#;1
#conjurado#;1
#conmigo#;1
#conocer#;1
#conocimiento#;1
#consagrar#;1
#conseguir#;1
#consejo#;1
#conservar#;1
#consignado#;1
#consolador;1
#consolar#;1
#consorte#;1
#constancia#;1
#consuelo#;1
#consumar#;1
#consumir#;1
#contacto#;1
#contar#;1
#contemplar#;1
#contener#;1
#contienda#;1
#continuamente#;1
#contra#;1
#contrario#;1
#contrito#;1
#convenir#;1
#convertir#;1
#convidado#;1
#convulso#;1
#corazon#;1
#cordel#;1
#corona#;1
#corporal#;1
#correctivo#;1
#correr#;1
#corresponder;1
#corrido;2
#corriendo#;1
#corriera;1
#corroborar#;1
#corrompido#;1
#corte#;1
#cortina#;1
#cortinaje#;1
#corto#;1
#cosa#;1
#cosecha#;1
#costar#;1
#costara;1
#costara#;1
#cota#;1
#coyunda#;1
#creador;1
#credito#;1
#creer#;1
#creo;1
#creyente#;1
#criado#;1
#criar#;1
#crimen#;1
#cruz#;1
#cruzar#;1
#cuadrar#;1
#cuadrilla#;1
#cual#;1
#cualquiera#;1
#cuando#;1
#cuantioso#;1
#cuanto;1
#cuanto#;1
#cuatro#;1
#cubierto#;1
#cubrir#;1
#cuchilla#;1
#cuello#;1
#cuento;1
#cuerpo#;1
#cueste;1
#cuidado#;1
#cuidar#;1
#culpa#;1
#culpado#;1
#cumplido#;1
#cumplimiento#;1
#cumplir#;1
#cuna#;1
#cupo#;1
#curar#;1
#custodio#;1
#cuyo#;1
#cuyos;1
#d#;1
#dada;1
#daga#;1
#dama#;1
#damasquino#;1
#dano#;1
#dar;4
#dar#;2
#de;19
#de#;1
#deber#;2
#debido#;1
#debiera;1
#debieron;1
#debil#;1
#debilidad#;1
#debio;1
#decid;1
#decir#;2
#decisivo#;1
#decreto#;1
#defender#;1
#defensa#;1
#defienda#;2
#deforme#;1
#dejar;2
#dejar#;1
#del;2
#delante#;1
#delicadeza#;1
#delicado#;1
#delincuente#;1
#delirante#;1
#delirar#;1
#delirio#;1
#delito#;1
#demas#;1
#denigrar#;1
#dentro#;1
#depender;1
#depositorio#;1
#derecho#;1
#derramar#;1
#derrumbar#;1
#desabrido#;1
#desacato#;1
#desafiados;1
#desafiar#;1
#desahogo#;1
#desairado#;1
#desairar#;1
#desaparecer#;1
#desastrado#;1
#desatar#;1
#descansar#;1
#desde;2
#desde#;1
#desden#;1
#desdenar#;1
#desdenoso#;1
#desdichado#;1
#desechar#;1
#desempenar#;1
#desgarrar#;1
#desgracia#;1
#desgraciadamente#;1
#desgraciado#;1
#deshonrarse#;1
#desleal#;1
#deslumbrar#;1
#desmayarse#;1
#desmentir#;1
#desnudo#;1
