10001;Apocolocyntosis;Lucius Seneca;November 10, 2003
10002;The House on the Borderland;William Hope Hodgson;November 10, 2003
10003;My First Years As A Frenchwoman, 1876-1879;Mary King Waddington;November 10, 2003
10004;The Warriors;Lindsay, Anna Robertson Brown;November 10, 2003
10005;A Voyage to the Moon;George Tucker;November 7, 2003
10006;La Fiammetta;Giovanni Boccaccio;November 7, 2003
10008;The Mystery;Stewart Edward White and Samuel Hopkins Adams;November 7, 2003
10009;Wild Northern Scenes;S. H. Hammond;November 7, 2003
10010;The Eulogies of Howard;William Hayley;November 7, 2003
10011;365 Foreign Dishes;Unknown;November 7, 2003
10012;The Mountains of California;John Muir;November 7, 2003
10013;Punchinello, Vol. 1, No. 9, May 28, 1870;Various;November 7, 2003
10014;Punchinello, Vol. 1, No. 18, July 30, 1870;Various;November 7, 2003
10015;Punchinello, Vol. 1, No. 19, August 6, 1870;Various;November 7, 2003
10016;Punchinello Vol. 1, No. 21, August 20, 1870;Various;November 7, 2003
10017;Punchinello, Vol. 1, No. 23,  September 3, 1870;Various;November 7, 2003
10018;Punchinello, Vol. 1, No. 5,  April 30, 1870;Various;November 8, 2003
10019;Punchinello, Vol. 1, No. 22, August 27, 1870;Various;November 8, 2003
10020;The Strand Magazine: Volume VII, Issue 37. January, 1894.;Edited by George Newnes;November 8, 2003
10021;Tenterhooks;Ada Leverson;November 8, 2003 
10022;White Queen of the Cannibals: The Story of Mary Slessor;A. J. Bueltmann;November 8, 2003
10023;There's Pippins And Cheese To Come;Charles S. Brooks;November 8, 2003
10024;Beneath the Banner;F. J. Cross;November 9, 2003
10025;Gaslight Sonatas;Fannie  Hurst;November 9, 2003
10026;The Mirror of Literature, Amusement, and Instruction, Vol. 10,; Various;October 9, 2003 
10027;The Triple Alliance;Harold Avery;November 13, 2003 
10028;Spalding's Official Baseball Guide - 1913;unknown;October 12, 2003 
10029;The Hunt Ball Mystery;Magnay, William;November 10, 2003
10030;The Life of Hon. William F. Cody;William F. Cody;November 10, 2003
10032;Punchinello, Vol. 1, No. 24, September 10, 1870;Various;November 10, 2003
10033;Punchinello, Vol. 1, No. 25, September 17, 1870;Various;November 10, 2003
10034;Punchinello, Vol. 1, No. 26, September 24, 1870;Various;November 10, 2003
10035;Punchinello, Vol. 2, No. 27, October 1, 1870;Various;November 10, 2003
10036;Punchinello Vol. 2, No. 28, October 8, 1870;Various;November 10, 2003
10037;A Beautiful Possibility;Edith Ferguson Black;November 10, 2003
10038;The Magnetic North;Elizabeth Robins (C. E. Raimond);November 10, 2003
10039;The Works of Aphra Behn, Vol. III;Aphra Behn;November 10, 2003
10040;Alaska Indian Dictionary;Charles A. Lee;November 10, 2003
10041;The Rivet in Grandfather's Neck;James Branch Cabell;November 11, 2003
10042;The Child Under Eight;E.R. Murray and Henrietta Brown Smith;November 11, 2003
10043;Klondyke Nuggets;Joseph Ladue;November 11, 2003
10044;The Father of British Canada: A Chronicle of Carleton;William Wood;November 11, 2003
10045;Dave Darrin's Second Year at Annapolis;H. Irving Hancock;November 11, 2003
10046;Salute to Adventurers;John Buchan;November 11, 2003
10047;Punchinello, Vol. 2, No. 29, October 15, 1870;Various;November 11, 2003
10048;Billie Bradley and Her Inheritance;Janet D. Wheeler;November 11, 2003
10049;Old Lady Mary;Margaret O. (Wilson) Oliphant;November 11, 2003
10050;A Little Pilgrim;Margaret O. (Wilson) Oliphant;November 11, 2003
10051;The Little Pilgrim: Further Experiences.;Margaret O. (Wilson) Oliphant;November 11, 2003
10052;The Open Door, and the Portrait.;Margaret O. (Wilson) Oliphant;November 11, 2003
10053;La vampire;Paul H.C. Feval;November 11, 2003
10054;Nova analysis aquarum Medeviensium;Joens Jacob Berzelius;November 16, 2003
10055;Hamburgische Dramaturgie;Gotthold Ephraim Lessing;November 15, 2003
10056;Chinese Literature;Anonymous;November 17, 2003
10057;The Secret of the Tower;Hope, Anthony;November 17, 2003
10058;The Divine Office;Rev. E. J. Quigley;November 17, 2003
10059;Aunt Jane's Nieces on Vacation;Edith Van Dyne;November 12, 2003
10060;Discourses;Thomas H. Huxley;November 12, 2003
10061;Les Heures Claires;Emile Verhaeren;November 12, 2003
10062;The Iron Game;Henry Francis Keenan;November 12, 2003
10063;Happiness and Marriage;Elizabeth (Jones) Towne;November 12, 2003
10064;Beltane The Smith;Jeffery Farnol;November 12, 2003
10065;The Constitution of the United States;James M. Beck;November 12, 2003
10066;Gunman's Reckoning;Max Brand;November 22, 2003
10067;The Mystery Of The Boule Cabinet;Burton Egbert Stevenson;November 12, 2003
10068;The Power and the Glory;Grace MacGowan Cooke;November 12, 2003
10069;Account of the Romansh Language;Joseph Planta, Esq. F. R. S.;November 12, 2003
10071;By-Ways of Bombay;S. M. Edwardes, C.V.O.;November 12, 2003
10072;English Housewifery Exemplified;Elizabeth Moxon;November 13, 2003
